year,top10,top5,top1,top.5,top.1,top.01
1985,0.361110717,0.251224309,0.117353879,0.086715288,0.044879552,0.018316133
1986,0.359786391,0.248590082,0.113711864,0.083280668,0.041402448,0.016852833
1987,0.370055258,0.260689676,0.124658063,0.092576072,0.047684912,0.020408135
1988,0.38562566,0.277867466,0.141397744,0.107896984,0.057988949,0.024102662
1989,0.38205871,0.273811221,0.137057632,0.103559934,0.054499984,0.022860073
1990,0.38322413,0.274299562,0.137673274,0.103888974,0.054306313,0.022627739
1991,0.382937819,0.271744996,0.131637111,0.0980381,0.050341893,0.020730956
1992,0.394437224,0.283069074,0.141313881,0.106408596,0.056351531,0.023699349
1993,0.391579092,0.279350251,0.13616246,0.101608783,0.053119566,0.022112871
1994,0.390614629,0.278147399,0.134797096,0.100225247,0.051967092,0.02149735
1995,0.397931874,0.285078675,0.140275776,0.105019584,0.055049099,0.022789408
1996,0.406174302,0.294411302,0.14756453,0.111326359,0.059777476,0.025562542
1997,0.412809521,0.301758379,0.154461682,0.117750555,0.064297035,0.027791647
1998,0.416677922,0.305977285,0.158691809,0.121657372,0.06714844,0.028658785
1999,0.420695096,0.309879661,0.162389278,0.12524727,0.070126966,0.030472221
2000,0.426572293,0.316244334,0.169527531,0.132094711,0.075819358,0.033833157
2001,0.420289159,0.309090406,0.162482396,0.125575155,0.070329934,0.030439908
2002,0.417010546,0.304822475,0.15790157,0.121023566,0.067181326,0.029467748
2003,0.419294775,0.306795239,0.15999496,0.123246193,0.069317453,0.031288054
2004,0.425173461,0.313640207,0.166680351,0.12925297,0.073287524,0.032576188
2005,0.434281111,0.323385715,0.174880579,0.136600554,0.078547873,0.034309175
2006,0.442131013,0.330879956,0.181052655,0.142131984,0.08209452,0.035806928
2007,0.442177504,0.331649095,0.182777211,0.144080073,0.084207036,0.038380325
2008,0.441740543,0.329036474,0.178732812,0.140525803,0.082612216,0.038597573
2009,0.435804009,0.318977147,0.166894555,0.129468411,0.074076764,0.033372626
2010,0.446240336,0.330549926,0.176900089,0.138159648,0.07952521,0.034821365
2011,0.452885121,0.337320238,0.182343408,0.142873287,0.082974769,0.037959978
2012,0.462445557,0.348066837,0.192750782,0.152195334,0.089475662,0.040830921
2013,0.456344157,0.340391845,0.183408588,0.143290058,0.083586238,0.038079064
2014,0.46132201,0.345879823,0.188399792,0.147453934,0.085748903,0.039022766
2015,0.462994039,0.346769184,0.18819055,0.147364065,0.085485585,0.038743731
2016,0.46170643,0.344585955,0.185838223,0.145061269,0.083812281,0.037332673
2017,0.459007174,0.343948781,0.186507359,0.1462892,0.085598215,0.040241022
2018,0.459439218,0.344893724,0.187762663,0.147178382,0.086040705,0.040117729
2019,0.458414495,0.343459249,0.186001733,0.145377725,0.084289335,0.038391043
